四川大学 suc
西南交通大学 swjtu
电子科技大学 uestc
西南石油大学 swpu
成都理工大学 cdut
西南科技大学 swust
成都信息工程大学 cuit
四川理工学院 suse
西华大学 xhu
中国民用航空飞行学院 cafuc
四川农业大学 sicau
西昌学院 xcc
西南医科大学 swmu
成都中医药大学 cdutcm
川北医学院 nsmc
四川师范大学 sicnu
西华师范大学 cwnu
绵阳师范学院 mnu
内江师范学院 njtc
宜宾学院 yibinu
四川文理学院 sasu
阿坝师范学院 abtu
乐山师范学院 lsnu
西南财经大学 swufe
成都体育学院 cdsu
四川音乐学院 sccm
西南民族大学 swun
成都学院 cdu
成都工业学院 cdtu
攀枝花学院 pzhu
四川旅游学院 sctu
四川民族学院 scun
四川警察学院 scpolicec
成都东软学院 nsu
电子科技大学成都学院 cduestc
成都理工大学工程技术学院 cdutetc
四川传媒学院 scmc
成都信息工程大学银杏酒店管理学院 yxhmc
成都文理学院 cdcas
四川工商学院 stbu
四川外国语大学成都学院 cisisu
成都医学院 cmc
四川工业科技学院 scit
四川大学锦城学院 scujcc
西南财经大学天府学院 tfswufe
四川大学锦江学院 scujj
四川文化艺术学院 sca
西南科技大学城市学院 ccswust
西南交通大学希望学院 swjtuhc
成都师范学院 cdnu
四川电影电视学院 scftvc
成都纺织高等专科学校 cdtc
民办四川天一学院 tianyi
成都航空职业技术学院 cap
四川电力职业技术学院 scdy
成都职业技术学院 cdp
四川化工职业技术学院 sccc
四川水利职业技术学院 swcvc
南充职业技术学院 nczy
内江职业技术学院 njvtc
四川航天职业技术学院 scavc
四川邮电职业技术学院 sptc
绵阳职业技术学院 mypt
